,company,comp_id
601,"ОАО МРМЗ ""Промавторемонт""",9626
602,"АО ""Борхиммаш""",14263
603,"АО ""Таймыргеофизика""",9381
604,"ПАО ""Детский мир""",6788
605,"ОАО ""Промсвязь""",21953
606,"ОАО ""У-У ППО""",14610
607,"АО ""Теле2-Санкт-Петербург""",19286
608,"АО ""ВОДТРАНСПРИБОР""",3561
609,"ОАО ""СУ-7 СМТ""",21547
610,"АО ""РН-Влакра""",21321
611,"ПАО ""Татнефть"" им. В.Д.Шашина",118
612,"ПАО ""НК ""Роснефть"" - Мурманскнефтепродукт""",12722
613,"ПАО ""МОНТАЖ""",19357
614,"ПАО ""Уралпромпроект""",13415
615,"АО ""Полет""",2303
616,"АО ""ЧЕХОВСТРОЙ""",15018
617,"АО ""Башкиргеология""",1458
618,"ПАО ""Магнит""",7671
619,"ОАО ""Сахафармация""",14265
620,"АО ""Стронег""",3286
621,"АО ""ПО ""Севмаш""",13354
622,"ПАО ""ГАЗ""",859
623,"АО ""ФПК""",30119
624,"ОАО ""ДАЛЬСИСТЕМА""",13917
625,"ПАО ""ОГК-2""",7234
626,ПАО «Интер РАО»,12213
627,"ПАО ""НМТП""",3900
628,"ПАО ""Гидроавтоматика""",10181
629,"ОАО ""АТП ""Левобережное""",23944
630,"ООО ""ПР-Лизинг""",37307
